Dates,Prec,ETP,Q_obs
01/01/1965,    0.0000,4.3997206502,0.6259999871
02/01/1965,    0.0000,4.1176884398,0.5820000172
03/01/1965,    0.0000,3.6630990999,0.5400000215
04/01/1965,    0.0000,4.07852282,0.5
05/01/1965,    0.0000,4.0663514994,0.4609999955
06/01/1965,    0.2618,3.7255282411,0.4309999943
07/01/1965,    0.1519,4.4695989601,0.4230000079
08/01/1965,    0.0000,4.2371646091,0.3869999945
09/01/1965,    0.0000,3.9496259401,0.3230000138
10/01/1965,    0.0000,3.9333797097,0.3100000024
11/01/1965,    0.0000,4.4294419605,0.2899999917
12/01/1965,    0.0000,4.382161269,0.2700000107
13/01/1965,    0.0000,4.1752503496,0.2520000041
14/01/1965,    1.0164,4.2131642606,0.25
15/01/1965,    0.0000,4.3888224494,0.2479999959
16/01/1965,    0.0000,5.1673504803,0.2319999933
17/01/1965,    0.0000,5.5220655706,0.2300000042
18/01/1965,    0.0000,6.0012390092,0.2300000042
19/01/1965,    0.0000,4.3786231,0.2280000001
20/01/1965,    0.0000,4.5574734397,0.2099999934
21/01/1965,    0.0000,4.8037251998,0.1879999936
22/01/1965,    0.0000,3.9247593405,0.1580000073
23/01/1965,    0.0000,3.8717375109,0.1469999999
24/01/1965,    0.0000,4.6002604906,0.1070000008
25/01/1965,    0.0000,4.5016956702,0.1000000015
26/01/1965,    0.0000,4.4801498894,0.0979999974
27/01/1965,    0.0000,4.6920600198,0.0820000023
28/01/1965,    0.0000,4.4943041597,0.0649999976
29/01/1965,    0.0000,5.0533776097,0.0460000001
30/01/1965,    0.0000,4.2978263795,0.0170000009
31/01/1965,    0.0000,4.7605999094,0.0020000001
01/02/1965,    0.0000,5.1382530592,0
02/02/1965,    0.0000,5.4696290102,0
03/02/1965,    0.0000,4.2868610304,0
04/02/1965,    0.0000,5.2977917492,0
05/02/1965,    0.0000,4.3329105098,0
06/02/1965,    0.0000,4.7950371895,0
07/02/1965,    0.0000,4.7891943399,0
08/02/1965,    0.0000,4.6888161693,0
09/02/1965,    0.8595,4.9607282896,0
10/02/1965,    7.1538,4.6165253799,0.0049999999
11/02/1965,   19.0596,3.5218766509,0.0790000036
12/02/1965,    0.0000,4.4837607574,0.1150000021
13/02/1965,    0.0000,4.5330367908,0.1010000035
14/02/1965,    0.0000,5.0115721002,0.5139999986
15/02/1965,    0.0000,4.6980275307,0.8790000081
16/02/1965,    0.0000,4.4241554793,0.6610000134
17/02/1965,    0.0000,4.6450351607,0.5410000086
18/02/1965,    0.0000,5.1366946697,0.4300000072
19/02/1965,    0.0000,4.8667109404,0.3400000036
