Dates,Prec,ETP,Q_obs
01/01/1967,    0.0000,4.0137208905,8.5310001373
02/01/1967,    0.0000,4.0929920729,7.5130000114
03/01/1967,    0.0000,3.957076381,6.8029999733
04/01/1967,    0.0000,3.9722003601,6.6319999695
05/01/1967,    0.0000,3.6021395447,6.1609997749
06/01/1967,    0.0000,3.6704296982,6.0570001602
07/01/1967,    0.0000,3.3925177511,5.9000000954
08/01/1967,    0.0000,4.7209503204,5.8740000725
09/01/1967,    0.0000,3.8142626528,5.8740000725
10/01/1967,    0.0000,4.4378074612,5.8480000496
11/01/1967,    0.0000,4.4240282606,5.6909999847
12/01/1967,    0.0000,4.9183523301,5.6649999619
13/01/1967,    0.0000,4.8578698616,5.6649999619
14/01/1967,    0.1668,4.7304026615,5.6649999619
15/01/1967,    0.2968,2.8432761468,5.6649999619
16/01/1967,    0.0000,3.5946090119,5.6649999619
17/01/1967,    0.0000,3.6453913869,5.6649999619
18/01/1967,    0.0000,4.4661740996,5.638999939
19/01/1967,    0.0000,3.3670229241,5.4809999466
20/01/1967,    0.0000,3.8921145322,5.4289999008
21/01/1967,    0.0000,3.6317780996,5.2459998131
22/01/1967,    0.0000,4.1679175105,5.0630002022
23/01/1967,    0.0000,3.8836325863,5.0110001564
24/01/1967,    0.0000,4.0296979602,4.8540000916
25/01/1967,    0.0000,4.9058978893,4.8020000458
26/01/1967,    0.0000,4.7486265991,4.6449999809
27/01/1967,    0.0000,3.8916283902,4.618999958
28/01/1967,    0.0000,3.8924082899,4.5929999352
29/01/1967,    0.0000,4.1850612201,4.4359998703
30/01/1967,    0.0000,3.3540101852,4.3880000114
31/01/1967,    0.0000,3.4761140868,4.2529997826
01/02/1967,    0.0000,4.3708642703,4.2309999466
02/02/1967,    0.0000,4.5062510297,4.2090001106
03/02/1967,    0.0000,4.996033879,4.0739998817
04/02/1967,    0.0000,4.5308456291,4.0520000458
05/02/1967,    0.0000,5.0045921709,4.0520000458
06/02/1967,    0.0000,5.3213299792,4.0520000458
07/02/1967,    0.0000,4.6609764006,4.0300002098
08/02/1967,    0.0000,4.8746923301,3.8959999084
