Dates,Q_obs,Prec,ETP
31/12/64,0.012,0,5.07722346
01/01/65,0.011,0,5.644758294
02/01/65,0.011,0,5.41380093
03/01/65,0.01,0,4.891375304
04/01/65,0.01,0,4.604087266
05/01/65,0.009,0,4.630590559
06/01/65,0.009,0,5.158464226
07/01/65,0.009,0,5.428175989
08/01/65,0.008,0,5.25704443
09/01/65,0.008,0,6.282903986
10/01/65,0.008,0,6.260250294
11/01/65,0.007,0,5.473879848
12/01/65,0.007,0,5.314328716
13/01/65,0.006,0,5.60022662
14/01/65,0.006,0,5.642290034
15/01/65,0.006,0,5.342155619
16/01/65,0.006,0,5.103938638
17/01/65,0.005,0,5.119856545
18/01/65,0.005,0,4.979579275
19/01/65,0.005,0,4.757340045
20/01/65,0.004,0,4.748880542
21/01/65,0.004,0,4.746305911
22/01/65,0.004,0,5.072533695
23/01/65,0.003,0,5.447945465
24/01/65,0.003,0,5.350513444
25/01/65,0.003,0,4.756604436
26/01/65,0.003,0,4.95006042
27/01/65,0.002,0,5.104641669
28/01/65,0.002,0,5.219795829
29/01/65,0.002,0,5.190415677
30/01/65,0.002,0,4.989715561
31/01/65,0.001,0,4.983923398
01/02/65,0.001,0,4.953014804
02/02/65,0.001,0,4.905129584
03/02/65,0.001,0,4.751639076
04/02/65,0.001,0,5.377224943
05/02/65,0.001,0,5.448955895
06/02/65,0.001,0,5.545510387
07/02/65,0,0,5.198848869
08/02/65,0,0,5.478932001
09/02/65,0,0,6.342369928
10/02/65,0,0,6.983282443
11/02/65,0,0,6.457100361
12/02/65,0,0,6.158854172
13/02/65,0,0,5.707152248
14/02/65,0,0,5.018473044
15/02/65,0,0,4.791135319
16/02/65,0,0,4.455237927
17/02/65,0,0,4.686491279
18/02/65,0,0,4.859506861
19/02/65,0,0,5.420988459
20/02/65,0,0,5.428518252
21/02/65,0,0,4.711684112
22/02/65,0,0,4.668180043
23/02/65,0,0,4.756788338
24/02/65,0,0,4.864257837
25/02/65,0,0,5.379179442
26/02/65,0,0,6.373518755
27/02/65,0,0,5.667384009
28/02/65,0,0,4.927332832
01/03/65,0,0,5.010965263
02/03/65,0,0,5.490720357
03/03/65,0,0,6.360776053
04/03/65,0,0,5.898714752
05/03/65,0,0,5.900395294
06/03/65,0,0,5.883589878
07/03/65,0,0,5.617196059
08/03/65,0,0.806865334,5.561288385
09/03/65,0,0,5.533711457
10/03/65,0,0,5.296374365
11/03/65,0,1.979141169,5.531270299
12/03/65,0,0,5.425780146
13/03/65,0,0.611671159,4.87890668
14/03/65,0,0.127460303,5.449292705
15/03/65,0,12.5035497,5.184223911
16/03/65,0,4.201472682,5.078395178
17/03/65,0,8.031854593,4.553057614
18/03/65,0,3.502339702,4.838524111
19/03/65,0,3.101867925,4.988060657
20/03/65,0,0,5.353445193
21/03/65,0,0,5.664504373
22/03/65,0,0,6.157068513
23/03/65,0,0,5.825891284
24/03/65,0,0,5.598063385
25/03/65,0,0,3.908899276
26/03/65,0,0,5.437074836
27/03/65,0,0,5.103001264
28/03/65,0,0,4.991991053
29/03/65,0,3.740446824,5.087534582
30/03/65,0,4.020905644,4.765277664
31/03/65,0,0,5.253059127
01/04/65,0,0,3.502901382
02/04/65,0,0,5.682931482
03/04/65,0,0.895180951,5.591573679
04/04/65,0,3.751449252,5.917246326
05/04/65,0,0,5.563091081
