Dates,Prec,ETP,Q_obs(mm)
01/01/1965,    0.0000,4.12287946045399,0.00350752385440776
02/01/1965,    0.0000,3.56954113952816,0.00349250230877476
03/01/1965,    0.0000,4.24217670038342,0.00337233016754878
04/01/1965,    0.0000,4.04687649942935,0.00327093490240455
05/01/1965,    0.0000,3.13003543019295,0.0033047333241193
06/01/1965,    0.2611,3.76616868842393,0.00300054775252462
07/01/1965,    0.0923,3.97856068331748,0.0028465771895839
08/01/1965,    0.0000,3.75583962071687,0.0028165340983179
09/01/1965,    0.0000,3.88751635886729,0.00271138350272492
10/01/1965,    0.0000,4.08252485096455,0.00273016037880667
11/01/1965,    0.0000,4.3499917704612,0.00291417403301339
12/01/1965,    0.0000,3.75085195060819,0.0028165340983179
13/01/1965,    0.0000,4.55021134018898,0.00259496669194769
14/01/1965,    0.6177,4.05268415994942,0.00254614672459995
15/01/1965,    0.0000,3.79545928817242,0.00246352855937548
16/01/1965,    0.0000,4.77863149903715,0.00230204711169925
17/01/1965,    0.0000,5.36336628906429,0.00143079936760845
18/01/1965,    0.0000,3.64681274816394,0.00126180725903473
19/01/1965,    0.0000,4.3851818498224,0.00112661368409477
20/01/1965,    0.0000,4.15291835926473,0.00110408136564526
21/01/1965,    0.0000,4.24122487939894,0.00110408136564526
22/01/1965,    0.0000,3.87249045912176,0.00110408136564526
23/01/1965,    0.0000,4.09176650084555,0.00110408136564526
24/01/1965,    0.0000,3.55748498532921,0.00110408136564526
25/01/1965,    0.0000,3.93989597912878,0.00110408136564526
26/01/1965,    0.0000,3.77929618023336,0.00110408136564526
27/01/1965,    0.0000,4.36573121882975,0.00109281526238002
28/01/1965,    0.0000,4.09631538763642,0.00102146308850179
29/01/1965,    0.0000,4.76570476032794,0.000942600029888047
30/01/1965,    0.0000,4.3871519099921,0.000859981752744568
31/01/1965,    0.0000,3.97506541013718,0.000796140295723331
01/02/1965,    0.0000,3.77746487036347,0.000788629522906831
02/02/1965,    1.0132,4.16332198306918,0.000788629522906831
03/02/1965,    0.0000,4.06831649877131,0.000788629522906831
04/02/1965,    0.0000,3.8966118209064,0.000788629522906831
05/02/1965,    0.0000,4.24782180599868,0.000788629522906831
06/02/1965,    0.0000,4.54456748999655,0.000788629522906831
07/02/1965,    1.9642,4.45673905871809,0.000788629522906831
08/02/1965,    0.0000,4.32994174025953,0.000769852646825088
09/02/1965,    0.4945,5.29645107127726,0.000657191278415611
10/02/1965,    9.9534,4.71185369975865,0.00059710520780262
11/02/1965,    8.7237,2.92349417414516,0.000630903629517364
12/02/1965,    0.0000,3.87296946160495,0.000585839104537378
13/02/1965,    3.4460,4.3496396895498,0.000578328331720877
14/02/1965,    1.0767,5.203897299245,0.000570817558904377
15/02/1965,    0.8893,4.77085261978209,0.000510731544250894
16/02/1965,    0.0000,4.31478272005916,0.000413091665514914
17/02/1965,    0.0000,4.884880900383,0.000398070147861664
18/02/1965,    1.2631,5.3935774397105,0.000383048630208417
19/02/1965,    0.0000,4.56064935959876,0.000296674938676938
20/02/1965,    0.0000,5.27928420901299,0.0002403442544722
21/02/1965,    0.0000,4.07982494868338,0.000195279701512459
22/02/1965,    0.0000,4.60282351076603,0.000157725907379342
